Feature,Importance
Raw_TDS_mgL,0.09243170852020793
Raw_TSS_mgL,0.089211635123577
Output_Biogas_m3_m3,0.08745011104063995
Raw_BOD_mgL,0.08564874342923395
Production_Level_Low,0.08525926344165478
Raw_pH,0.079164944446166
Raw_COD_mgL,0.07808203987497832
Input_Lime_kg_m3,0.06757576036288267
Operating_Shift_Morning,0.06579307478912505
Input_Urea_kg_m3,0.06284289359956156
Operating_Shift_Night,0.04644397342474331
Plant_Status_Normal Operation,0.042757510445430975
Input_DAP_kg_m3,0.04139619087260884
Production_Level_Medium,0.030662882735238962
Quarter,0.023776017813156525
Season_Dry Season,0.0084493857570372
Season_Long Rains,0.007185140491309964
Season_Short Rains,0.00586872383244712
